,PROVINCIA,MUNICIPIO,ESTACION,PARAMETRO,TECNICA,AÑO,MES,DIA,FECHA,VALOR_MEDIO,VALOR,TECNICA_hh,TECNICA_dd,VALOR_FINAL,CONTAMINANTE
72,11,8,8,9,49.0,2009,3,16,2009-03-16,20.208333333333332,,49.0,,20.208333333333332,PM25
73,11,8,8,9,49.0,2009,3,17,2009-03-17,24.666666666666668,,49.0,,24.666666666666668,PM25
74,11,8,8,9,49.0,2009,3,18,2009-03-18,24.375,,49.0,,24.375,PM25
75,11,8,8,9,49.0,2009,3,19,2009-03-19,16.8125,,49.0,,16.8125,PM25
76,11,8,8,9,49.0,2009,3,20,2009-03-20,23.041666666666668,,49.0,,23.041666666666668,PM25
77,11,8,8,9,49.0,2009,3,21,2009-03-21,26.875,,49.0,,26.875,PM25
78,11,8,8,9,49.0,2009,3,22,2009-03-22,17.875,,49.0,,17.875,PM25
79,11,8,8,9,49.0,2009,3,23,2009-03-23,14.958333333333334,,49.0,,14.958333333333334,PM25
80,11,8,8,9,49.0,2009,3,24,2009-03-24,17.333333333333332,,49.0,,17.333333333333332,PM25
81,11,8,8,9,49.0,2009,3,25,2009-03-25,21.125,,49.0,,21.125,PM25
82,11,8,8,9,49.0,2009,3,26,2009-03-26,20.708333333333332,,49.0,,20.708333333333332,PM25
83,11,8,8,9,49.0,2009,3,27,2009-03-27,17.333333333333332,,49.0,,17.333333333333332,PM25
84,11,8,8,9,49.0,2009,3,28,2009-03-28,14.208333333333334,,49.0,,14.208333333333334,PM25
85,11,8,8,9,49.0,2009,3,29,2009-03-29,7.916666666666667,,49.0,,7.916666666666667,PM25
86,11,8,8,9,49.0,2009,3,30,2009-03-30,7.458333333333333,,49.0,,7.458333333333333,PM25
87,11,8,8,9,49.0,2009,3,31,2009-03-31,10.25,,49.0,,10.25,PM25
88,11,8,8,9,49.0,2009,4,1,2009-04-01,10.5,,49.0,,10.5,PM25
89,11,8,8,9,49.0,2009,4,2,2009-04-02,11.75,,49.0,,11.75,PM25
90,11,8,8,9,49.0,2009,4,3,2009-04-03,12.772727272727273,,49.0,,12.772727272727273,PM25
91,11,8,8,9,49.0,2009,4,7,2009-04-07,8.909090909090908,,49.0,,8.909090909090908,PM25
92,11,8,8,9,49.0,2009,4,8,2009-04-08,11.625,,49.0,,11.625,PM25
93,11,8,8,9,49.0,2009,4,9,2009-04-09,10.541666666666666,,49.0,,10.541666666666666,PM25
94,11,8,8,9,49.0,2009,4,10,2009-04-10,2.5416666666666665,,49.0,,2.5416666666666665,PM25
95,11,8,8,9,49.0,2009,4,11,2009-04-11,0.75,,49.0,,0.75,PM25
96,11,8,8,9,49.0,2009,4,12,2009-04-12,0.5,,49.0,,0.5,PM25
97,11,8,8,9,49.0,2009,4,13,2009-04-13,1.4166666666666667,,49.0,,1.4166666666666667,PM25
98,11,8,8,9,49.0,2009,4,14,2009-04-14,0.5833333333333334,,49.0,,0.5833333333333334,PM25
99,11,8,8,9,49.0,2009,4,15,2009-04-15,0.2916666666666667,,49.0,,0.2916666666666667,PM25
100,11,8,8,9,49.0,2009,4,16,2009-04-16,0.7916666666666666,,49.0,,0.7916666666666666,PM25
101,11,8,8,9,49.0,2009,4,17,2009-04-17,2.5833333333333335,,49.0,,2.5833333333333335,PM25
102,11,8,8,9,49.0,2009,4,18,2009-04-18,0.875,,49.0,,0.875,PM25
103,11,8,8,9,49.0,2009,4,19,2009-04-19,1.5,,49.0,,1.5,PM25
104,11,8,8,9,49.0,2009,4,20,2009-04-20,3.263157894736842,,49.0,,3.263157894736842,PM25
105,11,8,8,9,49.0,2009,4,21,2009-04-21,5.833333333333333,,49.0,,5.833333333333333,PM25
106,11,8,8,9,49.0,2009,4,22,2009-04-22,11.869565217391305,,49.0,,11.869565217391305,PM25
107,11,8,8,9,49.0,2009,4,23,2009-04-23,20.25,,49.0,,20.25,PM25
108,11,8,8,9,49.0,2009,4,24,2009-04-24,21.583333333333332,,49.0,,21.583333333333332,PM25
109,11,8,8,9,49.0,2009,4,25,2009-04-25,11.833333333333334,,49.0,,11.833333333333334,PM25
110,11,8,8,9,49.0,2009,4,26,2009-04-26,4.416666666666667,,49.0,,4.416666666666667,PM25
111,11,8,8,9,49.0,2009,4,27,2009-04-27,2.5833333333333335,,49.0,,2.5833333333333335,PM25
112,11,8,8,9,49.0,2009,4,28,2009-04-28,2.875,,49.0,,2.875,PM25
113,11,8,8,9,49.0,2009,4,29,2009-04-29,3.2916666666666665,,49.0,,3.2916666666666665,PM25
114,11,8,8,9,49.0,2009,4,30,2009-04-30,0.9583333333333334,,49.0,,0.9583333333333334,PM25
115,11,8,8,9,49.0,2009,5,1,2009-05-01,0.4583333333333333,,49.0,,0.4583333333333333,PM25
116,11,8,8,9,49.0,2009,5,2,2009-05-02,0.9583333333333334,,49.0,,0.9583333333333334,PM25
117,11,8,8,9,49.0,2009,5,3,2009-05-03,10.25,,49.0,,10.25,PM25
118,11,8,8,9,49.0,2009,5,4,2009-05-04,10.416666666666666,,49.0,,10.416666666666666,PM25
119,11,8,8,9,49.0,2009,5,5,2009-05-05,10.916666666666666,,49.0,,10.916666666666666,PM25
120,11,8,8,9,49.0,2009,5,6,2009-05-06,11.125,,49.0,,11.125,PM25
121,11,8,8,9,49.0,2009,5,7,2009-05-07,7.625,,49.0,,7.625,PM25
122,11,8,8,9,49.0,2009,5,8,2009-05-08,11.875,,49.0,,11.875,PM25
123,11,8,8,9,49.0,2009,5,9,2009-05-09,14.833333333333334,,49.0,,14.833333333333334,PM25
124,11,8,8,9,49.0,2009,5,10,2009-05-10,15.875,,49.0,,15.875,PM25
125,11,8,8,9,49.0,2009,5,11,2009-05-11,11.583333333333334,,49.0,,11.583333333333334,PM25
126,11,8,8,9,49.0,2009,5,12,2009-05-12,10.625,,49.0,,10.625,PM25
127,11,8,8,9,49.0,2009,5,13,2009-05-13,6.583333333333333,,49.0,,6.583333333333333,PM25
128,11,8,8,9,49.0,2009,5,14,2009-05-14,5.565217391304348,,49.0,,5.565217391304348,PM25
129,11,8,8,9,49.0,2009,5,15,2009-05-15,6.083333333333333,,49.0,,6.083333333333333,PM25
130,11,8,8,9,49.0,2009,5,16,2009-05-16,11.833333333333334,,49.0,,11.833333333333334,PM25
131,11,8,8,9,49.0,2009,5,17,2009-05-17,11.0,,49.0,,11.0,PM25
132,11,8,8,9,49.0,2009,5,19,2009-05-19,8.4,,49.0,,8.4,PM25
133,11,8,8,9,49.0,2009,5,20,2009-05-20,14.166666666666666,,49.0,,14.166666666666666,PM25
134,11,8,8,9,49.0,2009,5,21,2009-05-21,12.291666666666666,,49.0,,12.291666666666666,PM25
135,11,8,8,9,49.0,2009,5,22,2009-05-22,6.583333333333333,,49.0,,6.583333333333333,PM25
136,11,8,8,9,49.0,2009,5,23,2009-05-23,3.3333333333333335,,49.0,,3.3333333333333335,PM25
137,11,8,8,9,49.0,2009,5,24,2009-05-24,5.0,,49.0,,5.0,PM25
138,11,8,8,9,49.0,2009,5,25,2009-05-25,6.041666666666667,,49.0,,6.041666666666667,PM25
139,11,8,8,9,49.0,2009,5,26,2009-05-26,6.5,,49.0,,6.5,PM25
140,11,8,8,9,49.0,2009,5,27,2009-05-27,11.666666666666666,,49.0,,11.666666666666666,PM25
141,11,8,8,9,49.0,2009,5,28,2009-05-28,11.85,,49.0,,11.85,PM25
142,11,8,8,9,49.0,2009,5,29,2009-05-29,13.333333333333334,,49.0,,13.333333333333334,PM25
143,11,8,8,9,49.0,2009,5,30,2009-05-30,21.083333333333332,,49.0,,21.083333333333332,PM25
144,11,8,8,9,49.0,2009,5,31,2009-05-31,25.083333333333332,,49.0,,25.083333333333332,PM25
145,11,8,8,9,49.0,2009,6,1,2009-06-01,29.333333333333332,,49.0,,29.333333333333332,PM25
146,11,8,8,9,49.0,2009,6,2,2009-06-02,21.166666666666668,,49.0,,21.166666666666668,PM25
147,11,8,8,9,49.0,2009,6,3,2009-06-03,10.583333333333334,,49.0,,10.583333333333334,PM25
148,11,8,8,9,49.0,2009,6,4,2009-06-04,7.833333333333333,,49.0,,7.833333333333333,PM25
149,11,8,8,9,49.0,2009,6,10,2009-06-10,27.11111111111111,,49.0,,27.11111111111111,PM25
150,11,8,8,9,49.0,2009,6,11,2009-06-11,12.0,,49.0,,12.0,PM25
151,11,8,8,9,49.0,2009,6,18,2009-06-18,17.6,,49.0,,17.6,PM25
152,11,8,8,9,49.0,2009,6,19,2009-06-19,29.875,,49.0,,29.875,PM25
153,11,8,8,9,49.0,2009,6,20,2009-06-20,31.375,,49.0,,31.375,PM25
154,11,8,8,9,49.0,2009,6,21,2009-06-21,31.53846153846154,,49.0,,31.53846153846154,PM25
155,11,8,8,9,49.0,2009,6,22,2009-06-22,22.846153846153847,,49.0,,22.846153846153847,PM25
156,11,8,8,9,49.0,2009,6,23,2009-06-23,14.666666666666666,,49.0,,14.666666666666666,PM25
157,11,8,8,9,49.0,2009,6,24,2009-06-24,9.041666666666666,,49.0,,9.041666666666666,PM25
158,11,8,8,9,49.0,2009,6,25,2009-06-25,5.791666666666667,,49.0,,5.791666666666667,PM25
159,11,8,8,9,49.0,2009,6,26,2009-06-26,5.25,,49.0,,5.25,PM25
160,11,8,8,9,49.0,2009,6,27,2009-06-27,7.375,,49.0,,7.375,PM25
161,11,8,8,9,49.0,2009,6,28,2009-06-28,4.958333333333333,,49.0,,4.958333333333333,PM25
162,11,8,8,9,49.0,2009,6,29,2009-06-29,6.565217391304348,,49.0,,6.565217391304348,PM25
163,11,8,8,9,49.0,2009,6,30,2009-06-30,6.7,,49.0,,6.7,PM25
164,11,8,8,9,49.0,2009,7,1,2009-07-01,14.958333333333334,,49.0,,14.958333333333334,PM25
165,11,8,8,9,49.0,2009,7,2,2009-07-02,12.0,,49.0,,12.0,PM25
166,11,8,8,9,49.0,2009,7,3,2009-07-03,7.291666666666667,,49.0,,7.291666666666667,PM25
167,11,8,8,9,49.0,2009,7,4,2009-07-04,12.708333333333334,,49.0,,12.708333333333334,PM25
168,11,8,8,9,49.0,2009,7,5,2009-07-05,6.25,,49.0,,6.25,PM25
169,11,8,8,9,49.0,2009,7,6,2009-07-06,6.375,,49.0,,6.375,PM25
170,11,8,8,9,49.0,2009,7,7,2009-07-07,7.041666666666667,,49.0,,7.041666666666667,PM25
171,11,8,8,9,49.0,2009,7,8,2009-07-08,8.75,,49.0,,8.75,PM25
172,11,8,8,9,49.0,2009,7,9,2009-07-09,15.0,,49.0,,15.0,PM25
173,11,8,8,9,49.0,2009,7,10,2009-07-10,12.217391304347826,,49.0,,12.217391304347826,PM25
174,11,8,8,9,49.0,2009,7,11,2009-07-11,26.375,,49.0,,26.375,PM25
175,11,8,8,9,49.0,2009,7,12,2009-07-12,27.333333333333332,,49.0,,27.333333333333332,PM25
176,11,8,8,9,49.0,2009,7,13,2009-07-13,17.083333333333332,,49.0,,17.083333333333332,PM25
177,11,8,8,9,49.0,2009,7,14,2009-07-14,8.130434782608695,,49.0,,8.130434782608695,PM25
178,11,8,8,9,49.0,2009,7,15,2009-07-15,18.958333333333332,,49.0,,18.958333333333332,PM25
179,11,8,8,9,49.0,2009,7,16,2009-07-16,13.375,,49.0,,13.375,PM25
180,11,8,8,9,49.0,2009,7,17,2009-07-17,9.541666666666666,,49.0,,9.541666666666666,PM25
181,11,8,8,9,49.0,2009,7,18,2009-07-18,9.541666666666666,,49.0,,9.541666666666666,PM25
182,11,8,8,9,49.0,2009,7,19,2009-07-19,12.291666666666666,,49.0,,12.291666666666666,PM25
183,11,8,8,9,49.0,2009,7,20,2009-07-20,13.714285714285714,,49.0,,13.714285714285714,PM25
184,11,8,8,9,49.0,2009,7,21,2009-07-21,18.708333333333332,,49.0,,18.708333333333332,PM25
185,11,8,8,9,49.0,2009,7,22,2009-07-22,15.666666666666666,,49.0,,15.666666666666666,PM25
186,11,8,8,9,49.0,2009,7,23,2009-07-23,5.875,,49.0,,5.875,PM25
187,11,8,8,9,49.0,2009,7,24,2009-07-24,7.125,,49.0,,7.125,PM25
188,11,8,8,9,49.0,2009,7,25,2009-07-25,17.5,,49.0,,17.5,PM25
189,11,8,8,9,49.0,2009,7,26,2009-07-26,17.708333333333332,,49.0,,17.708333333333332,PM25
190,11,8,8,9,49.0,2009,7,27,2009-07-27,16.791666666666668,,49.0,,16.791666666666668,PM25
191,11,8,8,9,49.0,2009,7,28,2009-07-28,21.208333333333332,,49.0,,21.208333333333332,PM25
192,11,8,8,9,49.0,2009,7,29,2009-07-29,27.125,,49.0,,27.125,PM25
193,11,8,8,9,49.0,2009,7,30,2009-07-30,14.31578947368421,,49.0,,14.31578947368421,PM25
194,11,8,8,9,49.0,2009,7,31,2009-07-31,28.625,,49.0,,28.625,PM25
195,11,8,8,9,49.0,2009,8,1,2009-08-01,5.916666666666667,,49.0,,5.916666666666667,PM25
196,11,8,8,9,49.0,2009,8,2,2009-08-02,6.782608695652174,,49.0,,6.782608695652174,PM25
197,11,8,8,9,49.0,2009,8,3,2009-08-03,14.625,,49.0,,14.625,PM25
198,11,8,8,9,49.0,2009,8,4,2009-08-04,19.083333333333332,,49.0,,19.083333333333332,PM25
199,11,8,8,9,49.0,2009,8,5,2009-08-05,22.210526315789473,,49.0,,22.210526315789473,PM25
200,11,8,8,9,49.0,2009,8,6,2009-08-06,15.5,,49.0,,15.5,PM25
201,11,8,8,9,49.0,2009,8,7,2009-08-07,6.333333333333333,,49.0,,6.333333333333333,PM25
202,11,8,8,9,49.0,2009,8,8,2009-08-08,7.75,,49.0,,7.75,PM25
203,11,8,8,9,49.0,2009,8,9,2009-08-09,9.916666666666666,,49.0,,9.916666666666666,PM25
204,11,8,8,9,49.0,2009,8,10,2009-08-10,15.833333333333334,,49.0,,15.833333333333334,PM25
205,11,8,8,9,49.0,2009,8,11,2009-08-11,21.458333333333332,,49.0,,21.458333333333332,PM25
206,11,8,8,9,49.0,2009,8,12,2009-08-12,17.857142857142858,,49.0,,17.857142857142858,PM25
207,11,8,8,9,49.0,2009,8,13,2009-08-13,17.833333333333332,,49.0,,17.833333333333332,PM25
208,11,8,8,9,49.0,2009,8,14,2009-08-14,15.25,,49.0,,15.25,PM25
209,11,8,8,9,49.0,2009,8,15,2009-08-15,13.083333333333334,,49.0,,13.083333333333334,PM25
210,11,8,8,9,49.0,2009,8,16,2009-08-16,17.291666666666668,,49.0,,17.291666666666668,PM25
211,11,8,8,9,49.0,2009,8,17,2009-08-17,22.791666666666668,,49.0,,22.791666666666668,PM25
212,11,8,8,9,49.0,2009,8,18,2009-08-18,20.375,,49.0,,20.375,PM25
213,11,8,8,9,49.0,2009,8,19,2009-08-19,19.208333333333332,,49.0,,19.208333333333332,PM25
214,11,8,8,9,49.0,2009,8,20,2009-08-20,23.916666666666668,,49.0,,23.916666666666668,PM25
215,11,8,8,9,49.0,2009,8,21,2009-08-21,22.875,,49.0,,22.875,PM25
216,11,8,8,9,49.0,2009,8,22,2009-08-22,24.291666666666668,,49.0,,24.291666666666668,PM25
217,11,8,8,9,49.0,2009,8,23,2009-08-23,21.083333333333332,,49.0,,21.083333333333332,PM25
218,11,8,8,9,49.0,2009,8,24,2009-08-24,16.53846153846154,,49.0,,16.53846153846154,PM25
219,11,8,8,9,49.0,2009,8,25,2009-08-25,7.5,,49.0,,7.5,PM25
220,11,8,8,9,49.0,2009,8,26,2009-08-26,9.055555555555555,,49.0,,9.055555555555555,PM25
221,11,8,8,9,49.0,2009,8,27,2009-08-27,16.76923076923077,,49.0,,16.76923076923077,PM25
222,11,8,8,9,49.0,2009,8,28,2009-08-28,19.3,,49.0,,19.3,PM25
223,11,8,8,9,49.0,2009,8,29,2009-08-29,23.083333333333332,,49.0,,23.083333333333332,PM25
224,11,8,8,9,49.0,2009,8,30,2009-08-30,19.5,,49.0,,19.5,PM25
225,11,8,8,9,49.0,2009,8,31,2009-08-31,18.583333333333332,,49.0,,18.583333333333332,PM25
226,11,8,8,9,49.0,2009,9,1,2009-09-01,19.82608695652174,,49.0,,19.82608695652174,PM25
227,11,8,8,9,49.0,2009,9,2,2009-09-02,13.583333333333334,,49.0,,13.583333333333334,PM25
