,idcomunidad,comunidad_x,anio,total,count,comunidad_y,ndvi_mean
448,13,Comunidad Foral de Navarra,1991,559.4,174,Comunidad Foral de Navarra,0.1343434
449,13,Comunidad Foral de Navarra,1992,547.8,90,Comunidad Foral de Navarra,0.12245513
450,1,Pais Vasco,1993,542.1,141,País Vasco/Euskadi,0.1635365
451,15,Islas Baleares,1986,513.4,158,Illes Balears,0.027605105
452,7,La Rioja,1994,497.4,108,La Rioja,0.12668088
453,16,Comunidad de Madrid,1984,494.0,116,Comunidad de Madrid,0.10032813
454,7,La Rioja,1988,477.2,52,La Rioja,0.13230367
455,8,Region de Murcia,2011,476.43,130,Región de Murcia,0.10038215
456,10,Aragon,1997,474.9,241,Aragón,0.13230734
457,13,Comunidad Foral de Navarra,2007,473.86,504,Comunidad Foral de Navarra,0.14768851
458,7,La Rioja,1995,468.1,177,La Rioja,0.13385838
459,13,Comunidad Foral de Navarra,2003,467.79,277,Comunidad Foral de Navarra,0.14518571
460,15,Islas Baleares,1991,462.7,131,Illes Balears,0.030834056
461,16,Comunidad de Madrid,2007,449.75,230,Comunidad de Madrid,0.10860115
462,1,Pais Vasco,1982,439.2,85,País Vasco/Euskadi,0.1562842
463,10,Aragon,2014,438.9,373,Aragón,0.13868937
464,8,Region de Murcia,2004,437.47999999999996,113,Región de Murcia,0.101803705
465,16,Comunidad de Madrid,2016,429.23999999999995,289,Comunidad de Madrid,0.11287172
466,1,Pais Vasco,2011,425.14,140,País Vasco/Euskadi,0.18519592
467,15,Islas Baleares,1995,424.7,116,Illes Balears,0.028344896
468,15,Islas Baleares,2012,404.66,147,Illes Balears,0.029349638
469,15,Islas Baleares,1984,400.5,110,Illes Balears,0.026594834
470,1,Pais Vasco,2014,398.34999999999997,157,País Vasco/Euskadi,0.18289477
471,16,Comunidad de Madrid,2011,385.0,294,Comunidad de Madrid,0.10781532
472,1,Pais Vasco,1981,381.6,51,País Vasco/Euskadi,0.16325597
473,15,Islas Baleares,1989,364.09999999999997,78,Illes Balears,0.025692586
474,16,Comunidad de Madrid,2014,364.04,363,Comunidad de Madrid,0.10564718
475,8,Region de Murcia,1992,363.8,112,Región de Murcia,0.09148437
476,1,Pais Vasco,1999,359.36,199,País Vasco/Euskadi,0.17127092
477,16,Comunidad de Madrid,1983,357.1,69,Comunidad de Madrid,0.08080215
478,13,Comunidad Foral de Navarra,2013,356.79,258,Comunidad Foral de Navarra,0.14701079
479,7,La Rioja,1991,355.8,60,La Rioja,0.123999216
480,10,Aragon,2013,347.71999999999997,217,Aragón,0.14356658
481,15,Islas Baleares,2005,347.39000000000004,141,Illes Balears,0.029500034
482,1,Pais Vasco,2012,344.81,140,País Vasco/Euskadi,0.17929253
483,8,Region de Murcia,2016,344.59000000000003,115,Región de Murcia,0.089519486
484,16,Comunidad de Madrid,2008,338.94,223,Comunidad de Madrid,0.10578422
485,13,Comunidad Foral de Navarra,2004,338.24,261,Comunidad Foral de Navarra,0.14521249
486,7,La Rioja,2009,336.68,112,La Rioja,0.13238387
487,15,Islas Baleares,2001,332.81,127,Illes Balears,0.02647078
488,8,Region de Murcia,1996,329.2,99,Región de Murcia,0.08279251
489,16,Comunidad de Madrid,2009,324.64,327,Comunidad de Madrid,0.09644581
490,7,La Rioja,2001,318.98,123,La Rioja,0.120931715
491,7,La Rioja,1990,289.8,67,La Rioja,0.12389891
492,7,La Rioja,2010,281.84000000000003,114,La Rioja,0.13551584
493,7,La Rioja,2015,281.74,58,La Rioja,0.14206886
494,8,Region de Murcia,2014,270.85,137,Región de Murcia,0.088451914
495,8,Region de Murcia,2005,257.51,138,Región de Murcia,0.089650944
496,10,Aragon,1996,255.5,262,Aragón,0.12512459
497,16,Comunidad de Madrid,1998,244.55,167,Comunidad de Madrid,0.11326818
498,1,Pais Vasco,2008,240.31,81,País Vasco/Euskadi,0.18087247
499,7,La Rioja,2000,225.32,197,La Rioja,0.1275322
500,7,La Rioja,1993,224.70000000000002,63,La Rioja,0.12996596
501,1,Pais Vasco,2004,223.19,126,País Vasco/Euskadi,0.17817129
502,15,Islas Baleares,2003,219.09,127,Illes Balears,0.029993668
503,15,Islas Baleares,2016,216.71,114,Illes Balears,0.029633587
504,7,La Rioja,1998,181.42000000000002,126,La Rioja,0.14239673
505,7,La Rioja,2005,174.09,105,La Rioja,0.12718001
506,15,Islas Baleares,1998,172.3,115,Illes Balears,0.029957145
507,7,La Rioja,1999,172.28,102,La Rioja,0.13308215
508,1,Pais Vasco,2013,170.08,92,País Vasco/Euskadi,0.17715316
509,15,Islas Baleares,2006,165.27,124,Illes Balears,0.028292382
510,7,La Rioja,2002,165.02,124,La Rioja,0.12557937
511,8,Region de Murcia,2008,162.28,109,Región de Murcia,0.101197824
512,8,Region de Murcia,2007,160.18,113,Región de Murcia,0.10454328
513,16,Comunidad de Madrid,1982,160.0,47,Comunidad de Madrid,0.08986963
514,7,La Rioja,1987,159.5,27,La Rioja,0.11921343
515,8,Region de Murcia,1998,149.34,170,Región de Murcia,0.10226606
516,1,Pais Vasco,2016,144.51,77,País Vasco/Euskadi,0.18369265
517,8,Region de Murcia,2000,143.98,178,Región de Murcia,0.0826283
518,8,Region de Murcia,1989,140.2,45,Región de Murcia,0.09638421
519,15,Islas Baleares,2004,139.35,172,Illes Balears,0.029538916
520,8,Region de Murcia,2003,130.0,158,Región de Murcia,0.09378539
521,15,Islas Baleares,2007,123.9,113,Illes Balears,0.030408133
522,8,Region de Murcia,2009,112.55000000000001,124,Región de Murcia,0.10809887
523,7,La Rioja,2014,111.94,95,La Rioja,0.14540052
524,7,La Rioja,2003,110.01,64,La Rioja,0.13803984
525,15,Islas Baleares,2009,109.58,117,Illes Balears,0.03140378
526,7,La Rioja,1992,109.3,92,La Rioja,0.11580131
527,7,La Rioja,2012,109.03,105,La Rioja,0.13572222
528,15,Islas Baleares,2015,106.72,77,Illes Balears,0.030995904
529,1,Pais Vasco,2007,105.61,67,País Vasco/Euskadi,0.18017179
530,7,La Rioja,1996,103.60000000000001,78,La Rioja,0.13045262
531,16,Comunidad de Madrid,2010,101.46,179,Comunidad de Madrid,0.10389628
532,8,Region de Murcia,1999,97.85,164,Región de Murcia,0.09414159
533,1,Pais Vasco,2006,95.09,108,País Vasco/Euskadi,0.18087281
534,8,Region de Murcia,1987,93.3,24,Región de Murcia,0.084859215
535,7,La Rioja,2016,92.28,47,La Rioja,0.14232093
536,8,Region de Murcia,1984,91.7,24,Región de Murcia,0.07810005
537,8,Region de Murcia,2002,89.51,166,Región de Murcia,0.090012066
538,15,Islas Baleares,1996,87.4,75,Illes Balears,0.030387513
539,8,Region de Murcia,2013,83.35,112,Región de Murcia,0.10265568
540,8,Region de Murcia,1982,82.7,30,Región de Murcia,0.071283646
541,8,Region de Murcia,2001,81.91,141,Región de Murcia,0.08080787
542,16,Comunidad de Madrid,1993,81.6,87,Comunidad de Madrid,0.10066002
543,8,Region de Murcia,1997,77.32,121,Región de Murcia,0.09952824
544,15,Islas Baleares,1997,71.9,101,Illes Balears,0.028947962
545,8,Region de Murcia,1995,71.8,122,Región de Murcia,0.07615783
546,7,La Rioja,2008,71.56,110,La Rioja,0.13912034
547,8,Region de Murcia,2006,71.37,90,Región de Murcia,0.09406456
548,7,La Rioja,2007,69.49000000000001,93,La Rioja,0.1385486
